"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1014184_1_NL_RO_210303.bin.7"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"UBA1444"	"UBA1444"	"UBA1444"	"Unclassified_UBA1444"
"1014187_1_NL_RO_210324.bin.60"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"UBA2334"	"Unclassified_UBA2334"
"1014188_1_NL_RO_210407.bin.12"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"Veillonellales"	"Dialisteraceae"	"Dialister"	"Dialister sp000434475"
"1014188_1_NL_RO_210407.bin.125"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"CAG-170"	"CAG-170 sp000432135"
"1014188_1_NL_RO_210407.bin.26"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Tepidiphilus"	"Tepidiphilus succinatimandens"
"1014188_1_NL_RO_210407.bin.31"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium sp015707995"
"1014188_1_NL_RO_210407.bin.4"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Giesbergeria"	"Giesbergeria anulus"
"1014188_1_NL_RO_210407.bin.50"	"Bacteria"	"Synergistota"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Cloacibacillus"	"Unclassified_Cloacibacillus"
"1014188_1_NL_RO_210407.bin.8"	"Bacteria"	"Desulfobacterota_I"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"Unclassified_Desulfovibrio"
"1014188_1_NL_RO_210407.bin.90"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Parasutterella"	"Parasutterella excrementihominis"
"1014190_1_NL_RO_210422.bin.11"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurospirillaceae"	"Sulfurospirillum"	"Unclassified_Sulfurospirillum"
"1014190_1_NL_RO_210422.bin.33"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Aquaspirillaceae"	"Rivicola"	"Unclassified_Rivicola"
"1014190_1_NL_RO_210422.bin.55"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Rhodoferax"	"Unclassified_Rhodoferax"
"1014192_1_NL_RO_210505.bin.27"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"QZKY01"	"Unclassified_QZKY01"
"1014192_1_NL_RO_210505.bin.63"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Tolumonas"	"Unclassified_Tolumonas"
"1014192_1_NL_RO_210505.bin.7"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"Alistipes onderdonkii"
"1014192_1_NL_RO_210505.bin.72"	"Bacteria"	"Synergistota"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Syner-03"	"Syner-03 sp002839185"
"1014194_1_NL_RO_210526.bin.5"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Aeromonas"	"Unclassified_Aeromonas"
"1014194_1_NL_RO_210526.bin.56"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Giesbergeria"	"Giesbergeria metamorpha"
"1014194_1_NL_RO_210526.bin.63"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"	"MWDT01"	"Unclassified_MWDT01"
"1014198_1_NL_RO_210623.bin.1"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Paludibacteraceae"	"UPXZ01"	"Unclassified_UPXZ01"
"1014198_1_NL_RO_210623.bin.67"	"Archaea"	"Halobacteriota"	"Methanosarcinia"	"Methanotrichales"	"Methanotrichaceae"	"Methanothrix"	"Unclassified_Methanothrix"
"1014198_1_NL_RO_210623.bin.78"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Comamonas_E"	"Unclassified_Comamonas_E"
"1014200_1_NL_RO_210708.bin.10"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Giesbergeria"	"Giesbergeria sp010020825"
"1014200_1_NL_RO_210708.bin.28"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides graminisolvens"
"1014200_1_NL_RO_210708.bin.62"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Kaistella"	"Unclassified_Kaistella"
"1014200_1_NL_RO_210708.bin.84"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"JAGOXX01"	"JAGOXX01 sp018059485"
"1014203_1_NL_RO_210728.bin.10"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellae"	"LD1-PB3"	"Lenti-01"	"Unclassified_Lenti-01"	"Unclassified_Lenti-01"
"1014203_1_NL_RO_210728.bin.13"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas media"
"1014203_1_NL_RO_210728.bin.3"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Nanoperiomorbaceae"	"WRLL01"	"Unclassified_WRLL01"
"1014203_1_NL_RO_210728.bin.31"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Sphaerotilus"	"Sphaerotilus montanus"
"1014203_1_NL_RO_210728.bin.48"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"UBA2357"	"Unclassified_UBA2357"
"1014203_1_NL_RO_210728.bin.51"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"SCMT01"	"Unclassified_SCMT01"
"1014205_1_NL_RO_210811.bin.37"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Kaistella"	"Unclassified_Kaistella"
"1014205_1_NL_RO_210811.bin.52"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Citrobacter"	"Citrobacter freundii"
"1014205_1_NL_RO_210811.bin.78"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Massilia"	"Unclassified_Massilia"
"1014208_1_NL_RO_210830.bin.3"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter urativorans_C"
"1014208_1_NL_RO_210830.bin.82"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadaceae"	"Saccharimonas"	"Unclassified_Saccharimonas"
"1014209_1_NL_RO_210922.bin.119"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"Anaeromusales"	"Anaeromusaceae"	"Anaeromusa"	"Anaeromusa sp009929485"
"1014209_1_NL_RO_210922.bin.2"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"	"Veillonella sp009929605"
"1014209_1_NL_RO_210922.bin.27"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Brachymonas"	"Unclassified_Brachymonas"
"1014209_1_NL_RO_210922.bin.62"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Unclassified_Selenomonadaceae"	"Unclassified_Selenomonadaceae"
"1014209_1_NL_RO_210922.bin.77"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Alkanindiges"	"Unclassified_Alkanindiges"
"1014210_1_NL_RO_210929.bin.111"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"Unclassified_Flavobacterium"
"1014210_1_NL_RO_210929.bin.38"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Aquabacterium"	"Unclassified_Aquabacterium"
"1014210_1_NL_RO_210929.bin.46"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Tolumonas"	"Tolumonas sp008015085"
"1014210_1_NL_RO_210929.bin.86"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Hydrogenophaga"	"Unclassified_Hydrogenophaga"
"1014210_1_NL_RO_210929.bin.9"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"JAGLBJ01"	"Unclassified_JAGLBJ01"
"1014211_1_NL_RO_211007.bin.9"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"	"Unclassified_Opitutaceae"	"Unclassified_Opitutaceae"
"1014213_1_NL_RO_211020.bin.10"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Chthoniobacterales"	"Terrimicrobiaceae"	"Terrimicrobium"	"Unclassified_Terrimicrobium"
"1014213_1_NL_RO_211020.bin.126"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Giesbergeria"	"Unclassified_Giesbergeria"
"1014213_1_NL_RO_211020.bin.4"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Rhizobium_B"	"Unclassified_Rhizobium_B"
"1014213_1_NL_RO_211020.bin.64"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"TH1-2"	"UBA1942"	"Unclassified_UBA1942"
"1014215_1_NL_RO_211103.bin.12"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"UBA2334"	"Unclassified_UBA2334"
"1014215_1_NL_RO_211103.bin.50"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Azonexus"	"Unclassified_Azonexus"
"1014216_1_IT_BO_200312.bin.10"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Unclassified_Acidovorax"
"1014216_1_IT_BO_200312.bin.27"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Unclassified_Acinetobacter"
"1014216_1_IT_BO_200312.bin.45"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"26B"	"Unclassified_26B"
"1014218_1_IT_BO_200324.bin.33"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Competibacterales"	"Competibacteraceae"	"UBA2383"	"Unclassified_UBA2383"
"1014218_1_IT_BO_200324.bin.64"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Paracoccus"	"Unclassified_Paracoccus"
"1014218_1_IT_BO_200324.bin.67"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"JAGOZV01"	"JAGOZV01"	"JAGOZV01 sp018064165"
"1014218_1_IT_BO_200324.bin.68"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Paracoccus"	"Paracoccus endophyticus"
"1014218_1_IT_BO_200324.bin.81"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Ferruginibacter"	"Unclassified_Ferruginibacter"
"1014218_1_IT_BO_200324.bin.9"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingopyxis"	"Unclassified_Sphingopyxis"
"1014220_1_IT_BO_200407.bin.10"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Aquabacterium_A"	"Unclassified_Aquabacterium_A"
"1014220_1_IT_BO_200407.bin.104"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"PHOS-HE28"	"PHOS-HE28"	"PHOS-HE28 sp018266685"
"1014220_1_IT_BO_200407.bin.109"	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadaceae"	"Saccharimonas"	"Unclassified_Saccharimonas"
"1014220_1_IT_BO_200407.bin.111"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Unclassified_Acidovorax"
"1014220_1_IT_BO_200407.bin.16"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Chiayiivirga"	"Unclassified_Chiayiivirga"
"1014220_1_IT_BO_200407.bin.18"	"Bacteria"	"Patescibacteria"	"Paceibacteria"	"Moranbacterales"	"UBA1568"	"UBA1568"	"Unclassified_UBA1568"
"1014220_1_IT_BO_200407.bin.27"	"Bacteria"	"Patescibacteria"	"Paceibacteria"	"Moranbacterales"	"UBA1568"	"UBA1568"	"Unclassified_UBA1568"
"1014220_1_IT_BO_200407.bin.3"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Rhodoferax"	"Unclassified_Rhodoferax"
"1014220_1_IT_BO_200407.bin.33"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Thermomonas"	"Unclassified_Thermomonas"
"1014220_1_IT_BO_200407.bin.34"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Aquabacterium_A"	"Unclassified_Aquabacterium_A"
"1014220_1_IT_BO_200407.bin.41"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"Unclassified_Saprospiraceae"	"Unclassified_Saprospiraceae"
"1014220_1_IT_BO_200407.bin.43"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"AKYH767-A"	"OLB10"	"OLB10"	"OLB10 sp002455375"
"1014220_1_IT_BO_200407.bin.45"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"JAAFIP01"	"Unclassified_JAAFIP01"
"1014220_1_IT_BO_200407.bin.46"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Competibacterales"	"Competibacteraceae"	"UBA2383"	"Unclassified_UBA2383"
"1014220_1_IT_BO_200407.bin.50"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Thauera"	"Unclassified_Thauera"
"1014220_1_IT_BO_200407.bin.63"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Actinomycetales"	"Microbacteriaceae"	"Unclassified_Microbacteriaceae"	"Unclassified_Microbacteriaceae"
"1014220_1_IT_BO_200407.bin.64"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Albidovulum"	"Unclassified_Albidovulum"
"1014220_1_IT_BO_200407.bin.71"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Unclassified_Pseudomonas_E"
"1014220_1_IT_BO_200407.bin.75"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"OLB9"	"Unclassified_OLB9"
"1014220_1_IT_BO_200407.bin.79"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Acidimicrobiales"	"Microtrichaceae"	"Microthrix"	"Microthrix parvicella"
"1014220_1_IT_BO_200407.bin.82"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Ferruginibacter"	"Ferruginibacter sp016710595"
"1014220_1_IT_BO_200407.bin.96"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"UBA5066"	"UBA5066"	"UBA5066"	"Unclassified_UBA5066"
"1014222_1_IT_BO_200421.bin.18"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingorhabdus_B"	"Unclassified_Sphingorhabdus_B"
"1014222_1_IT_BO_200421.bin.46"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"JAAFIP01"	"Unclassified_JAAFIP01"
"1014222_1_IT_BO_200421.bin.63"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"UBA932"	"Bact-08"	"Bact-08 sp018053445"
"1014222_1_IT_BO_200421.bin.74"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas_A"	"Unclassified_Pseudoxanthomonas_A"
"1014222_1_IT_BO_200421.bin.87"	"Bacteria"	"Myxococcota"	"Polyangia"	"Haliangiales"	"Haliangiaceae"	"JABFXX01"	"Unclassified_JABFXX01"
"1014224_1_IT_BO_200505.bin.36"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Thauera"	"Unclassified_Thauera"
"1014226_1_IT_BO_200518.bin.119"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pasteurellaceae"	"Chelonobacter"	"Unclassified_Chelonobacter"
"1014226_1_IT_BO_200518.bin.36"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Propionivibrio"	"Unclassified_Propionivibrio"
"1014226_1_IT_BO_200518.bin.44"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Unclassified_Streptococcus"
"1014226_1_IT_BO_200518.bin.59"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Peptostreptococcales"	"Filifactoraceae"	"Proteocatella"	"Proteocatella sp009929415"
"1014226_1_IT_BO_200518.bin.7"	"Bacteria"	"Desulfobacterota_I"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"Unclassified_Desulfovibrio"
"1014226_1_IT_BO_200518.bin.92"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"QFOP01"	"QFOP01 sp003248785"
"1014228_1_IT_BO_200601.bin.23"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Thiocapsa"	"Unclassified_Thiocapsa"
"1014228_1_IT_BO_200601.bin.5"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Gemmiger"	"Gemmiger formicilis"
"1015033_1_IT_BO_200709.bin.118"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"JAAFIP01"	"Unclassified_JAAFIP01"
"1015033_1_IT_BO_200709.bin.124"	"Bacteria"	"Eremiobacterota"	"Xenobia"	"Xenobiales"	"JADMJV01"	"JADMJV01"	"Unclassified_JADMJV01"
"1015033_1_IT_BO_200709.bin.137"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Vitreoscilla"	"Unclassified_Vitreoscilla"
"1015033_1_IT_BO_200709.bin.150"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Unclassified_Acidovorax"
"1015033_1_IT_BO_200709.bin.19"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"CAG-83"	"CAG-83 sp000435555"
"1015033_1_IT_BO_200709.bin.35"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"Akkermansia muciniphila_B"
"1015033_1_IT_BO_200709.bin.44"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"26B"	"26B sp016894345"
"1015033_1_IT_BO_200709.bin.53"	"Bacteria"	"Desulfobacterota"	"Desulfobulbia"	"Desulfobulbales"	"Desulfobulbaceae"	"Desulfobulbus"	"Unclassified_Desulfobulbus"
"1015033_1_IT_BO_200709.bin.63"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Unclassified_Selenomonadaceae"	"Unclassified_Selenomonadaceae"
"1015035_1_IT_BO_200723.bin.107"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Vitreoscilla"	"Unclassified_Vitreoscilla"
"1015035_1_IT_BO_200723.bin.16"	"Bacteria"	"Desulfobacterota_I"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"Unclassified_Desulfovibrio"
"1015035_1_IT_BO_200723.bin.35"	"Archaea"	"Halobacteriota"	"Methanosarcinia"	"Methanotrichales"	"Methanotrichaceae"	"Methanothrix"	"Methanothrix soehngenii"
"1015035_1_IT_BO_200723.bin.37"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Paludibacteraceae"	"UPXZ01"	"UPXZ01 sp009929445"
"1015035_1_IT_BO_200723.bin.77"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Paracoccus"	"Unclassified_Paracoccus"
"1015037_1_IT_BO_200806.bin.115"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Aquaspirillaceae"	"Rivicola"	"Unclassified_Rivicola"
"1015037_1_IT_BO_200806.bin.116"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas caviae"
"1015037_1_IT_BO_200806.bin.24"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Unclassified_Acidovorax"
"1015037_1_IT_BO_200806.bin.71"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"	"CAJCBL01"	"Unclassified_CAJCBL01"
"1015037_1_IT_BO_200806.bin.73"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"UBA1444"	"UBA1444"	"UBA1444"	"Unclassified_UBA1444"
"1015037_1_IT_BO_200806.bin.89"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Azonexus"	"Azonexus sp016790885"
"1015037_1_IT_BO_200806.bin.99"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ideonella"	"Ideonella filiformis"
"1015039_1_IT_BO_200825.bin.11"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Unclassified_Pseudomonas_E"
"1015039_1_IT_BO_200825.bin.18"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Moraxella"	"Unclassified_Moraxella"
"1015039_1_IT_BO_200825.bin.35"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Giesbergeria"	"Unclassified_Giesbergeria"
"1015039_1_IT_BO_200825.bin.41"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"CTSOIL-112"	"Unclassified_CTSOIL-112"
"1015039_1_IT_BO_200825.bin.44"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Unclassified_Acidovorax"
"1015039_1_IT_BO_200825.bin.49"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter towneri"
"1015041_1_IT_BO_200908.bin.91"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter immobilis_D"
"1015045_1_IT_BO_201008.bin.110"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Gemmobacter"	"Unclassified_Gemmobacter"
"1015045_1_IT_BO_201008.bin.133"	"Bacteria"	"Eremiobacterota"	"Xenobia"	"Xenobiales"	"JADMJV01"	"Unclassified_JADMJV01"	"Unclassified_JADMJV01"
"1015045_1_IT_BO_201008.bin.142"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Christensenellales"	"CAG-74"	"Ventricola"	"Ventricola sp900542395"
"1015045_1_IT_BO_201008.bin.16"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas sp003248965"
"1015045_1_IT_BO_201008.bin.34"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Neisseria"	"Unclassified_Neisseria"
"1015045_1_IT_BO_201008.bin.39"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"Unclassified_Flavobacterium"
"1015050_1_IT_BO_201110.bin.21"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Cloacibacterium"	"Cloacibacterium caeni_A"
"1015052_1_IT_BO_201126.bin.40"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Thiotrichaceae"	"Thiothrix"	"Thiothrix unzii"
"1015054_1_IT_BO_201210.bin.53"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"CTSOIL-112"	"Unclassified_CTSOIL-112"
"1015054_1_IT_BO_201210.bin.64"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Comamonas"	"Comamonas suwonensis"
"1015058_1_IT_BO_210105.bin.11"	"Unclassified_Bacteria"	"Unclassified_Bacteria"	"Unclassified_Bacteria"	"Unclassified_Bacteria"	"Unclassified_Bacteria"	"Unclassified_Bacteria"	"Unclassified_Bacteria"
"1015058_1_IT_BO_210105.bin.25"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Massilia"	"Unclassified_Massilia"
"1015058_1_IT_BO_210105.bin.7"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter glacincola_B"
