"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1007167_1_RA_CPH.bin.70"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Moraxella"	"Moraxella porci"
"1007170_1_RL_CPH.bin.20"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"Veillonellales"	"Dialisteraceae"	"Dialister"	"Dialister invisus"
"1007170_1_RL_CPH.bin.25"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Brachymonas"	"Brachymonas denitrificans_A"
"1007170_1_RL_CPH.bin.28"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter towneri"
"1007174_1_RA_CPH.bin.2"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Vitreoscilla"	"Unclassified_Vitreoscilla"
"1007174_2_RA_CPH.bin.20"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Fluviibacter"	"Fluviibacter phosphoraccumulans"
"1007174_2_RA_CPH.bin.22"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Vitreoscilla"	"Unclassified_Vitreoscilla"
"1007175_2_RD_CPH.bin.34"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"Flavobacterium sp017995345"
"1007175_2_RD_CPH.bin.46"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Thauera"	"Unclassified_Thauera"
"1007176_2_RL_CPH.bin.1"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Aeromonadaceae"	"Aeromonas"	"Aeromonas media"
"1007177_2_RD_CPH.bin.32"	"Bacteria"	"Firmicutes_C"	"Negativicutes"	"UBA1444"	"UBA1444"	"UBA1444"	"Unclassified_UBA1444"
"1007177_2_RD_CPH.bin.65"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"CAG-103"	"CAG-103 sp000432375"
"1007177_2_RD_CPH.bin.7"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Acidovorax"	"Unclassified_Acidovorax"
