"Site"	"City"	"Date"	"Replicate"	"Replicate_Bigger"	"DNA_conc"	"Year"	"Day"	"Day0"	"Season"	"Sample_Long_Name"
"1014093_1"	"Budapest"	"Budapest"	2020-08-03	1	TRUE	"0.98"	"2020"	216	551	"summer"	"DTU_2022_1014093_1_MG_HU_BU_3_200803_GSL_242"
"1014095_1"	"Budapest"	"Budapest"	2020-08-17	1	TRUE	"42"	"2020"	230	565	"summer"	"DTU_2022_1014095_1_MG_HU_BU_3_200817_GSL_262"
"1014098_1"	"Budapest"	"Budapest"	2020-09-07	1	TRUE	"38.3"	"2020"	251	586	"autumm"	"DTU_2022_1014098_1_MG_HU_BU_3_200907_GSL_274"
"1014099_1"	"Budapest"	"Budapest"	2020-09-15	1	TRUE	"47.9"	"2020"	259	594	"autumm"	"DTU_2022_1014099_1_MG_HU_BU_3_200915_GSL_326"
"1014103_1"	"Budapest"	"Budapest"	2020-10-05	1	TRUE	"3.9"	"2020"	279	614	"autumm"	"DTU_2022_1014103_1_MG_HU_BU_3_201005_GSL_338"
"1014106_1"	"Budapest"	"Budapest"	2020-10-27	1	TRUE	"24.4"	"2020"	301	636	"autumm"	"DTU_2022_1014106_1_MG_HU_BU_3_201027_GSL_346"
"1014107_1"	"Budapest"	"Budapest"	2020-11-03	1	TRUE	"0.841"	"2020"	308	643	"autumm"	"DTU_2022_1014107_1_MG_HU_BU_3_201103_GSL_404"
"1014111_1"	"Budapest"	"Budapest"	2020-11-23	1	TRUE	"22.5"	"2020"	328	663	"autumm"	"DTU_2022_1014111_1_MG_HU_BU_3_201123_GSL_599"
"1014114_1"	"Budapest"	"Budapest"	2020-12-07	1	TRUE	"23.2"	"2020"	342	677	"winter"	"DTU_2022_1014114_1_MG_HU_BU_3_201207_GSL_604"
"1014117_1"	"Budapest"	"Budapest"	2020-12-28	1	TRUE	"6"	"2020"	363	698	"winter"	"DTU_2022_1014117_1_MG_HU_BU_3_201228_GSL_715"
"1014120_1"	"Budapest"	"Budapest"	2021-01-18	1	TRUE	"21.4"	"2021"	18	719	"winter"	"DTU_2022_1014120_1_MG_HU_BU_3_210118_GSL_749"
