"Site"	"City"	"Date"	"Replicate"	"Replicate_Bigger"	"DNA_conc"	"Year"	"Day"	"Day0"	"Season"	"Sample_Long_Name"
"1007244_1"	"Copenaghen_RD"	"Copenaghen"	2020-06-10	1	TRUE	"26,9"	"2020"	162	497	"summer"	"DTU_2020_1007244_1_MG_RD_CPH_Sewage_697"
"1007242_2"	"Copenaghen_RL"	"Copenaghen"	2020-06-10	2	TRUE	"43,8"	"2020"	162	497	"summer"	"DTU_2020_1007242_2_MG_RL_CPH_Sewage_695"
"1007246_1"	"Copenaghen_RD"	"Copenaghen"	2020-06-17	1	TRUE	"44,5"	"2020"	169	504	"summer"	"DTU_2020_1007246_1_MG_RD_CPH_Sewage_703"
"1007245_1"	"Copenaghen_RL"	"Copenaghen"	2020-06-17	1	TRUE	"41"	"2020"	169	504	"summer"	"DTU_2020_1007245_1_MG_RL_CPH_Sewage_701"
"1007248_1"	"Copenaghen_RD"	"Copenaghen"	2020-06-24	1	TRUE	"10,5"	"2020"	176	511	"summer"	"DTU_2020_1007248_1_MG_RD_CPH_Sewage_709"
"1007247_1"	"Copenaghen_RL"	"Copenaghen"	2020-06-24	1	TRUE	"18,9"	"2020"	176	511	"summer"	"DTU_2020_1007247_1_MG_RL_CPH_Sewage_707"
"1007250_1"	"Copenaghen_RA"	"Copenaghen"	2020-06-29	1	TRUE	"49,2"	"2020"	181	516	"summer"	"DTU_2020_1007250_1_MG_RA_CPH_Sewage_711"
"1007251_1"	"Copenaghen_RD"	"Copenaghen"	2020-06-29	1	TRUE	"48,3"	"2020"	181	516	"summer"	"DTU_2020_1007251_1_MG_RD_CPH_Sewage_712"
"1007249_1"	"Copenaghen_RL"	"Copenaghen"	2020-06-29	1	TRUE	"54"	"2020"	181	516	"summer"	"DTU_2020_1007249_1_MG_RL_CPH_Sewage_710"
"1007253_1"	"Copenaghen_RA"	"Copenaghen"	2020-07-07	1	TRUE	"50"	"2020"	189	524	"summer"	"DTU_2020_1007253_1_MG_RA_CPH_Sewage_714"
"1007254_1"	"Copenaghen_RD"	"Copenaghen"	2020-07-07	1	TRUE	"59"	"2020"	189	524	"summer"	"DTU_2020_1007254_1_MG_RD_CPH_Sewage_715"
"1007252_1"	"Copenaghen_RL"	"Copenaghen"	2020-07-07	1	TRUE	"60"	"2020"	189	524	"summer"	"DTU_2020_1007252_1_MG_RL_CPH_Sewage_713"
"1007256_1"	"Copenaghen_RA"	"Copenaghen"	2020-07-14	1	TRUE	"30,3"	"2020"	196	531	"summer"	"DTU_2020_1007256_1_MG_RA_CPH_Sewage_717"
"1007257_1"	"Copenaghen_RD"	"Copenaghen"	2020-07-14	1	TRUE	"5,11"	"2020"	196	531	"summer"	"DTU_2020_1007257_1_MG_RD_CPH_Sewage_718"
"1007255_1"	"Copenaghen_RL"	"Copenaghen"	2020-07-14	1	TRUE	"53"	"2020"	196	531	"summer"	"DTU_2020_1007255_1_MG_RL_CPH_Sewage_716"
"1007259_1"	"Copenaghen_RA"	"Copenaghen"	2020-07-23	1	TRUE	"26,4"	"2020"	205	540	"summer"	"DTU_2020_1007259_1_MG_RA_CPH_Sewage_720"
"1007260_1"	"Copenaghen_RD"	"Copenaghen"	2020-07-23	1	TRUE	"4,07"	"2020"	205	540	"summer"	"DTU_2020_1007260_1_MG_RD_CPH_Sewage_721"
"1007258_1"	"Copenaghen_RL"	"Copenaghen"	2020-07-23	1	TRUE	"38,4"	"2020"	205	540	"summer"	"DTU_2020_1007258_1_MG_RL_CPH_Sewage_719"
"1007262_1"	"Copenaghen_RA"	"Copenaghen"	2020-07-29	1	TRUE	"32,2"	"2020"	211	546	"summer"	"DTU_2020_1007262_1_MG_RA_CPH_Sewage_723"
"1007263_1"	"Copenaghen_RD"	"Copenaghen"	2020-07-29	1	TRUE	"41,2"	"2020"	211	546	"summer"	"DTU_2020_1007263_1_MG_RD_CPH_Sewage_724"
"1007261_1"	"Copenaghen_RL"	"Copenaghen"	2020-07-29	1	TRUE	"50"	"2020"	211	546	"summer"	"DTU_2020_1007261_1_MG_RL_CPH_Sewage_722"
"1007265_1"	"Copenaghen_RA"	"Copenaghen"	2020-08-04	1	TRUE	"20,1"	"2020"	217	552	"summer"	"DTU_2020_1007265_1_MG_RA_CPH_Sewage_726"
"1007266_1"	"Copenaghen_RD"	"Copenaghen"	2020-08-04	1	TRUE	"35,3"	"2020"	217	552	"summer"	"DTU_2020_1007266_1_MG_RD_CPH_Sewage_727"
"1007264_1"	"Copenaghen_RL"	"Copenaghen"	2020-08-04	1	TRUE	"43"	"2020"	217	552	"summer"	"DTU_2020_1007264_1_MG_RL_CPH_Sewage_725"
"1007268_1"	"Copenaghen_RA"	"Copenaghen"	2020-08-12	1	TRUE	"34,4"	"2020"	225	560	"summer"	"DTU_2020_1007268_1_MG_RA_CPH_Sewage_732"
"1007269_1"	"Copenaghen_RD"	"Copenaghen"	2020-08-12	1	TRUE	"33,6"	"2020"	225	560	"summer"	"DTU_2020_1007269_1_MG_RD_CPH_Sewage_733"
"1007267_2"	"Copenaghen_RL"	"Copenaghen"	2020-08-12	2	TRUE	"13,3"	"2020"	225	560	"summer"	"DTU_2020_1007267_2_MG_RL_CPH_Sewage_731"
"1007271_2"	"Copenaghen_RA"	"Copenaghen"	2020-08-19	2	TRUE	"10,1"	"2020"	232	567	"summer"	"DTU_2020_1007271_2_MG_RA_CPH_Sewage_735"
"1007270_2"	"Copenaghen_RL"	"Copenaghen"	2020-08-19	2	TRUE	"27,9"	"2020"	232	567	"summer"	"DTU_2020_1007270_2_MG_RL_CPH_Sewage_734"
"1007273_2"	"Copenaghen_RA"	"Copenaghen"	2020-08-27	2	TRUE	"35,6"	"2020"	240	575	"summer"	"DTU_2020_1007273_2_MG_RA_CPH_Sewage_741"
"1007274_1"	"Copenaghen_RD"	"Copenaghen"	2020-08-27	1	TRUE	"29,7"	"2020"	240	575	"summer"	"DTU_2020_1007274_1_MG_RD_CPH_Sewage_742"
"1007272_2"	"Copenaghen_RL"	"Copenaghen"	2020-08-27	2	TRUE	"47,8"	"2020"	240	575	"summer"	"DTU_2020_1007272_2_MG_RL_CPH_Sewage_740"
"1007278_1"	"Copenaghen_RA"	"Copenaghen"	2020-09-28	1	TRUE	"55"	"2020"	272	607	"autumm"	"DTU_2020_1007278_1_MG_RA_CPH_Sewage_2_587"
"1007280_2"	"Copenaghen_RD"	"Copenaghen"	2020-09-28	2	TRUE	"46"	"2020"	272	607	"autumm"	"DTU_2020_1007280_2_MG_RD_CPH_Sewage_2_588"
"1007276_1"	"Copenaghen_RL"	"Copenaghen"	2020-09-28	1	TRUE	"54"	"2020"	272	607	"autumm"	"DTU_2020_1007276_1_MG_RL_CPH_Sewage_2_586"
"1015073_1"	"Rome"	"Rome"	2020-03-17	1	TRUE	"23.7"	"2020"	77	412	"spring"	"DTU_2022_1015073_1_MG_IT_RO_200317_GSL_1"
"1015075_1"	"Rome"	"Rome"	2020-03-31	1	TRUE	"24.6"	"2020"	91	426	"spring"	"DTU_2022_1015075_1_MG_IT_RO_200331_GSL_3"
"1015077_1"	"Rome"	"Rome"	2020-04-14	1	TRUE	"16.2"	"2020"	105	440	"spring"	"DTU_2022_1015077_1_MG_IT_RO_200414_GSL_5"
"1015078_1"	"Rome"	"Rome"	2020-04-21	1	TRUE	"28.1"	"2020"	112	447	"spring"	"DTU_2022_1015078_1_MG_IT_RO_200421_GSL_84"
"1015081_1"	"Rome"	"Rome"	2020-05-12	1	TRUE	"19.5"	"2020"	133	468	"spring"	"DTU_2022_1015081_1_MG_IT_RO_200512_GSL_87"
"1015083_1"	"Rome"	"Rome"	2020-05-26	1	TRUE	"31"	"2020"	147	482	"spring"	"DTU_2022_1015083_1_MG_IT_RO_200526_GSL_89"
"1015085_1"	"Rome"	"Rome"	2020-06-16	1	TRUE	"27.8"	"2020"	168	503	"summer"	"DTU_2022_1015085_1_MG_IT_RO_200616_GSL_91"
"1015087_1"	"Rome"	"Rome"	2020-06-30	1	TRUE	"31.1"	"2020"	182	517	"summer"	"DTU_2022_1015087_1_MG_IT_RO_200630_GSL_351"
"1015089_1"	"Rome"	"Rome"	2020-07-14	1	TRUE	"40.9"	"2020"	196	531	"summer"	"DTU_2022_1015089_1_MG_IT_RO_200714_GSL_353"
"1015091_1"	"Rome"	"Rome"	2020-07-31	1	TRUE	"45.2"	"2020"	213	548	"summer"	"DTU_2022_1015091_1_MG_IT_RO_200731_GSL_355"
"1015093_1"	"Rome"	"Rome"	2020-08-13	1	TRUE	"42.7"	"2020"	226	561	"summer"	"DTU_2022_1015093_1_MG_IT_RO_200813_GSL_357"
"1015094_1"	"Rome"	"Rome"	2020-08-26	1	TRUE	"35"	"2020"	239	574	"summer"	"DTU_2022_1015094_1_MG_IT_RO_200826_GSL_358"
"1015096_1"	"Rome"	"Rome"	2020-09-08	1	TRUE	"31.2"	"2020"	252	587	"autumm"	"DTU_2022_1015096_1_MG_IT_RO_200908_GSL_360"
"1015098_1"	"Rome"	"Rome"	2020-09-22	1	TRUE	"44.5"	"2020"	266	601	"autumm"	"DTU_2022_1015098_1_MG_IT_RO_200922_GSL_362"
"1015100_1"	"Rome"	"Rome"	2020-10-06	1	TRUE	"42.2"	"2020"	280	615	"autumm"	"DTU_2022_1015100_1_MG_IT_RO_201006_GSL_364"
"1015103_1"	"Rome"	"Rome"	2020-10-27	1	TRUE	"40.1"	"2020"	301	636	"autumm"	"DTU_2022_1015103_1_MG_IT_RO_201027_GSL_367"
"1015105_1"	"Rome"	"Rome"	2020-11-10	1	TRUE	"45.4"	"2020"	315	650	"autumm"	"DTU_2022_1015105_1_MG_IT_RO_201110_GSL_369"
"1015107_1"	"Rome"	"Rome"	2020-11-24	1	TRUE	"22.9"	"2020"	329	664	"autumm"	"DTU_2022_1015107_1_MG_IT_RO_201124_GSL_371"
"1015108_1"	"Rome"	"Rome"	2020-12-01	1	TRUE	"56"	"2020"	336	671	"winter"	"DTU_2022_1015108_1_MG_IT_RO_201201_GSL_372"
"1015109_1"	"Rome"	"Rome"	2020-12-09	1	TRUE	"39.7"	"2020"	344	679	"winter"	"DTU_2022_1015109_1_MG_IT_RO_201209_GSL_373"
"1014139_1"	"Rotterdam"	"Rotterdam"	2020-04-08	1	TRUE	"52"	"2020"	99	434	"spring"	"DTU_2022_1014139_1_MG_NL_RO_200408_GSL_1065"
"1014141_1"	"Rotterdam"	"Rotterdam"	2020-04-23	1	TRUE	"57"	"2020"	114	449	"spring"	"DTU_2022_1014141_1_MG_NL_RO_200423_GSL_1067"
"1014143_1"	"Rotterdam"	"Rotterdam"	2020-05-04	1	TRUE	"60"	"2020"	125	460	"spring"	"DTU_2022_1014143_1_MG_NL_RO_200504_GSL_1069"
"1014145_1"	"Rotterdam"	"Rotterdam"	2020-05-21	1	TRUE	"58"	"2020"	142	477	"spring"	"DTU_2022_1014145_1_MG_NL_RO_200521_GSL_1071"
"1014146_1"	"Rotterdam"	"Rotterdam"	2020-06-03	1	TRUE	"49"	"2020"	155	490	"summer"	"DTU_2022_1014146_1_MG_NL_RO_200603_GSL_1072"
"1014149_1"	"Rotterdam"	"Rotterdam"	2020-06-24	1	TRUE	"42.3"	"2020"	176	511	"summer"	"DTU_2022_1014149_1_MG_NL_RO_200624_GSL_1075"
"1014151_1"	"Rotterdam"	"Rotterdam"	2020-07-06	1	TRUE	"47.3"	"2020"	188	523	"summer"	"DTU_2022_1014151_1_MG_NL_RO_200706_GSL_1077"
"1014154_1"	"Rotterdam"	"Rotterdam"	2020-07-24	1	TRUE	"57"	"2020"	206	541	"summer"	"DTU_2022_1014154_1_MG_NL_RO_200724_GSL_1080"
"1014156_1"	"Rotterdam"	"Rotterdam"	2020-08-05	1	TRUE	"49.4"	"2020"	218	553	"summer"	"DTU_2022_1014156_1_MG_NL_RO_200805_GSL_1082"
"1014158_1"	"Rotterdam"	"Rotterdam"	2020-08-25	1	TRUE	"48.1"	"2020"	238	573	"summer"	"DTU_2022_1014158_1_MG_NL_RO_200823_GSL_1084"
"1014159_1"	"Rotterdam"	"Rotterdam"	2020-09-02	1	TRUE	"43.9"	"2020"	246	581	"autumm"	"DTU_2022_1014159_1_MG_NL_RO_200902_GSL_1085"
"1014162_1"	"Rotterdam"	"Rotterdam"	2020-09-23	1	TRUE	"52"	"2020"	267	602	"autumm"	"DTU_2022_1014162_1_MG_NL_RO_200923_GSL_1088"
"1014164_1"	"Rotterdam"	"Rotterdam"	2020-10-07	1	TRUE	"46.5"	"2020"	281	616	"autumm"	"DTU_2022_1014164_1_MG_NL_RO_201007_GSL_1090"
"1014166_1"	"Rotterdam"	"Rotterdam"	2020-10-23	1	TRUE	"44.4"	"2020"	297	632	"autumm"	"DTU_2022_1014166_1_MG_NL_RO_201023_GSL_1092"
"1014168_1"	"Rotterdam"	"Rotterdam"	2020-11-04	1	TRUE	"43.9"	"2020"	309	644	"autumm"	"DTU_2022_1014168_1_MG_NL_RO_201104_GSL_1094"
"1014171_1"	"Rotterdam"	"Rotterdam"	2020-11-25	1	TRUE	"48"	"2020"	330	665	"autumm"	"DTU_2022_1014171_1_MG_NL_RO_201125_GSL_1097"
"1014172_1"	"Rotterdam"	"Rotterdam"	2020-12-02	1	TRUE	"45"	"2020"	337	672	"winter"	"DTU_2022_1014172_1_MG_NL_RO_201202_GSL_1098"
"1014175_1"	"Rotterdam"	"Rotterdam"	2020-12-23	1	TRUE	"38.9"	"2020"	358	693	"winter"	"DTU_2022_1014175_1_MG_NL_RO_201223_GSL_1101"
"1014176_1"	"Rotterdam"	"Rotterdam"	2021-01-06	1	TRUE	"41"	"2021"	6	707	"winter"	"DTU_2022_1014176_1_MG_NL_RO_210106_GSL_1102"
"1014178_1"	"Rotterdam"	"Rotterdam"	2021-01-20	1	TRUE	"30.6"	"2021"	20	721	"winter"	"DTU_2022_1014178_1_MG_NL_RO_210120_GSL_1104"
"1014180_1"	"Rotterdam"	"Rotterdam"	2021-02-03	1	TRUE	"32.1"	"2021"	34	735	"winter"	"DTU_2022_1014180_1_MG_NL_RO_210203_GSL_1106"
"1014183_1"	"Rotterdam"	"Rotterdam"	2021-02-25	1	TRUE	"31.3"	"2021"	56	757	"winter"	"DTU_2022_1014183_1_MG_NL_RO_210225_GSL_1109"
"1014184_1"	"Rotterdam"	"Rotterdam"	2021-03-03	1	TRUE	"44.5"	"2021"	62	763	"spring"	"DTU_2022_1014184_1_MG_NL_RO_210303_GSL_1110"
"1014187_1"	"Rotterdam"	"Rotterdam"	2021-03-24	1	TRUE	"52"	"2021"	83	784	"spring"	"DTU_2022_1014187_1_MG_NL_RO_210324_GSL_1113"
"1014188_1"	"Rotterdam"	"Rotterdam"	2021-04-07	1	TRUE	"22.3"	"2021"	97	798	"spring"	"DTU_2022_1014188_1_MG_NL_RO_210407_GSL_1114"
"1014190_1"	"Rotterdam"	"Rotterdam"	2021-04-22	1	TRUE	"47.5"	"2021"	112	813	"spring"	"DTU_2022_1014190_1_MG_NL_RO_210422_GSL_1116"
"1014192_1"	"Rotterdam"	"Rotterdam"	2021-05-05	1	TRUE	"42.2"	"2021"	125	826	"spring"	"DTU_2022_1014192_1_MG_NL_RO_210505_GSL_1118"
"1014194_1"	"Rotterdam"	"Rotterdam"	2021-05-26	1	TRUE	"37.9"	"2021"	146	847	"spring"	"DTU_2022_1014194_1_MG_NL_RO_210526_GSL_1120"
"1014196_1"	"Rotterdam"	"Rotterdam"	2021-06-09	1	TRUE	"44.1"	"2021"	160	861	"summer"	"DTU_2022_1014196_1_MG_NL_RO_210609_GSL_1122"
"1014198_1"	"Rotterdam"	"Rotterdam"	2021-06-23	1	TRUE	"44.3"	"2021"	174	875	"summer"	"DTU_2022_1014198_1_MG_NL_RO_210623_GSL_1124"
"1014200_1"	"Rotterdam"	"Rotterdam"	2021-07-08	1	TRUE	"47"	"2021"	189	890	"summer"	"DTU_2022_1014200_1_MG_NL_RO_210708_GSL_1126"
"1014203_1"	"Rotterdam"	"Rotterdam"	2021-07-28	1	TRUE	"39.4"	"2021"	209	910	"summer"	"DTU_2022_1014203_1_MG_NL_RO_210728_GSL_1129"
"1014205_1"	"Rotterdam"	"Rotterdam"	2021-08-11	1	TRUE	"35.7"	"2021"	223	924	"summer"	"DTU_2022_1014205_1_MG_NL_RO_210811_GSL_1131"
"1014208_1"	"Rotterdam"	"Rotterdam"	2021-08-30	1	TRUE	"41.2"	"2021"	242	943	"summer"	"DTU_2022_1014208_1_MG_NL_RO_210830_GSL_1134"
"1014209_1"	"Rotterdam"	"Rotterdam"	2021-09-22	1	TRUE	"47.2"	"2021"	265	966	"autumm"	"DTU_2022_1014209_1_MG_NL_RO_210922_GSL_1135"
"1014210_1"	"Rotterdam"	"Rotterdam"	2021-09-29	1	TRUE	"45.4"	"2021"	272	973	"autumm"	"DTU_2022_1014210_1_MG_NL_RO_210929_GSL_1136"
"1014211_1"	"Rotterdam"	"Rotterdam"	2021-10-07	1	TRUE	"38.8"	"2021"	280	981	"autumm"	"DTU_2022_1014211_1_MG_NL_RO_211007_GSL_1137"
"1014213_1"	"Rotterdam"	"Rotterdam"	2021-10-20	1	TRUE	"52"	"2021"	293	994	"autumm"	"DTU_2022_1014213_1_MG_NL_RO_211020_GSL_1139"
"1014215_1"	"Rotterdam"	"Rotterdam"	2021-11-03	1	TRUE	"55"	"2021"	307	1008	"autumm"	"DTU_2022_1014215_1_MG_NL_RO_211103_GSL_1141"
